,Unnamed: 0,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,tweet words,links,replies_sentance,Negative words,Positive words,Sentiment Score,hour,minute,day
0,0,"@MTCBATA is looking for a new Executive Director. The last one was in place for 17 years, so this is a BIG deal. We've put together a list of positive, visionary leaders we think are great candidates for the job. Would you add anyone else? Let us know! https://t.co/Syf9exwPTd ",2018-10-27 18:01:00,124.0,5.0,0.0403225806451612,0.0,[['@MTCBATA']],0.0,1.0,4.0,"['@mtcbata', 'is', 'looking', 'for', 'a', 'new', 'executive', 'director.', 'the', 'last', 'one', 'was', 'in', 'place', 'for', 'years,', 'so', 'this', 'is', 'a', 'big', 'deal.', ""we've"", 'put', 'together', 'a', 'list', 'of', 'positive,', 'visionary', 'leaders', 'we', 'think', 'are', 'great', 'candidates', 'for', 'the', 'job.', 'would', 'you', 'add', 'anyone', 'else?', 'let', 'us', 'know!', 'https://t.co/syf9exwptd']",https://t.co/Syf9exwPTd,"['@MTCBATA', 'is', 'looking', 'for', 'a', 'new', 'Executive', 'Director.', 'The', 'last', 'one', 'was', 'in', 'place', 'for', '17', 'years,', 'so', 'this', 'is', 'a', 'BIG', 'deal.', ""We've"", 'put', 'together', 'a', 'list', 'of', 'positive,', 'visionary', 'leaders', 'we', 'think', 'are', 'great', 'candidates', 'for', 'the', 'job.', 'Would', 'you', 'add', 'anyone', 'else?', 'Let', 'us', 'know!', 'https://t.co/Syf9exwPTd', '']","['dire', 'in', 'ire', 'no', 'the']","['ace', 'add', 'as', 'big', 'can', 'candid', 'da', 'direct', 'ear', 'executive', 'for', 'great', 'in', 'lead', 'leader', 'new', 'now', 'of', 'ok', 'on', 'positive', 'the', 'together', 'vision', 'visionary', 'would', 'yea', 'yo', 'you']",0.08664259927797835,18,1,6
1,1,Ultimate seamlessness. https://t.co/CdCLrg2o6a ,2018-10-26 14:24:00,345.0,10.0,0.0289855072463768,0.0,[],1.0,0.0,9.0,"['ultimate', 'seamlessness.', 'https://t.co/cdclrg2o6a']",https://t.co/CdCLrg2o6a,"['Ultimate', 'seamlessness.', 'https://t.co/CdCLrg2o6a', '']",[],"['mate', 'seamless', 'ultimate']",0.06382978723404255,14,24,5
2,2,"Help Nix Prop 6! Save funding for more seamless transit. Help out -- flier some train stations, do some phone banking. Sign up here: https://t.co/qM4M7tCFVO https://t.co/2379qGdY2D ",2018-10-26 02:28:00,994.0,19.0,0.0191146881287726,4.0,[],5.0,3.0,5.0,"['help', 'nix', 'prop', 'save', 'funding', 'for', 'more', 'seamless', 'transit.', 'help', 'out', 'flier', 'some', 'train', 'stations,', 'do', 'some', 'phone', 'banking.', 'sign', 'up', 'here:', 'https://t.co/qm4m7tcfvo', 'https://t.co/2379qgdy2d']","https://t.co/qM4M7tCFVO, https://t.co/2379qGdY2D","['Help', 'Nix', 'Prop', '6!', 'Save', 'funding', 'for', 'more', 'seamless', 'transit.', 'Help', 'out', '--', 'flier', 'some', 'train', 'stations,', 'do', 'some', 'phone', 'banking.', 'Sign', 'up', 'here:', 'https://t.co/qM4M7tCFVO', 'https://t.co/2379qGdY2D', '']","['ding', 'in', 'lie']","['for', 'fun', 'help', 'hone', 'in', 'more', 'on', 'pro', 'save', 'seamless', 'up']",0.04419889502762431,2,28,5
3,3,"It doesn't have to be this way! Let's get to fixing. ""Regional fare integration, free transit, &amp; regulating timing of freight deliveries are proven concepts that have been standard practice in well-run cities around the world for decades, but are still ‘outside-the-box’” for MTC"" https://t.co/FczQtLbH5d ",2018-10-23 23:29:00,792.0,7.0,0.0088383838383838,2.0,[],4.0,1.0,0.0,"['it', ""doesn't"", 'have', 'to', 'be', 'this', 'way!', ""let's"", 'get', 'to', 'fixing.', '""regional', 'fare', 'integration,', 'free', 'transit,', '&amp;', 'regulating', 'timing', 'of', 'freight', 'deliveries', 'are', 'proven', 'concepts', 'that', 'have', 'been', 'standard', 'practice', 'in', 'well-run', 'cities', 'around', 'the', 'world', 'for', 'decades,', 'but', 'are', 'still', '‘outside-the-box’”', 'for', 'mtc""', 'https://t.co/fczqtlbh5d']",https://t.co/FczQtLbH5d,"['It', ""doesn't"", 'have', 'to', 'be', 'this', 'way!', ""Let's"", 'get', 'to', 'fixing.', '""Regional', 'fare', 'integration,', 'free', 'transit,', '&amp;', 'regulating', 'timing', 'of', 'freight', 'deliveries', 'are', 'proven', 'concepts', 'that', 'have', 'been', 'standard', 'practice', 'in', 'well-run', 'cities', 'around', 'the', 'world', 'for', 'decades,', 'but', 'are', 'still', '‘outside-the-box’”', 'for', 'MTC""', 'https://t.co/FczQtLbH5d', '']","['ill', 'in', 'the']","['box', 'da', 'fare', 'for', 'free', 'have', 'in', 'live', 'of', 'on', 'practice', 'pro', 'proven', 'round', 'run', 'still', 'the', 'way', 'well', 'well-run']",0.05501618122977346,23,29,2
4,4,And then come say hi at next month’s @SPUR_Urbanist lunch forum where @icgee will be pitching our proposal alongside a few of the other great project ideas &amp; concepts to come from the competition. ,2018-10-23 23:09:00,532.0,3.0,0.0056390977443609,0.0,"[['@SPUR_Urbanist'], ['@icgee']]",1.0,2.0,0.0,"['and', 'then', 'come', 'say', 'hi', 'at', 'next', 'month’s', '@spur_urbanist', 'lunch', 'forum', 'where', '@icgee', 'will', 'be', 'pitching', 'our', 'proposal', 'alongside', 'a', 'few', 'of', 'the', 'other', 'great', 'project', 'ideas', '&amp;', 'concepts', 'to', 'come', 'from', 'the', 'competition.']",,"['And', 'then', 'come', 'say', 'hi', 'at', 'next', 'month’s', '@SPUR_Urbanist', 'lunch', 'forum', 'where', '@icgee', 'will', 'be', 'pitching', 'our', 'proposal', 'alongside', 'a', 'few', 'of', 'the', 'other', 'great', 'project', 'ideas', '&amp;', 'concepts', 'to', 'come', 'from', 'the', 'competition.', '']","['ill', 'in', 'itch', 'itching', 'the']","['as', 'for', 'great', 'idea', 'in', 'next', 'of', 'on', 'pro', 'say', 'the', 'will']",0.03482587064676616,23,9,2
5,5,"For more details, check out our post detailing the proposal &amp; thoughts on the process. https://t.co/orryBnG27Z ",2018-10-23 23:07:00,538.0,22.0,0.0408921933085501,0.0,[],4.0,0.0,14.0,"['for', 'more', 'details,', 'check', 'out', 'our', 'post', 'detailing', 'the', 'proposal', '&amp;', 'thoughts', 'on', 'the', 'process.', 'https://t.co/orrybng27z']",https://t.co/orryBnG27Z,"['For', 'more', 'details,', 'check', 'out', 'our', 'post', 'detailing', 'the', 'proposal', '&amp;', 'thoughts', 'on', 'the', 'process.', 'https://t.co/orryBnG27Z', '']","['ail', 'ailing', 'heck', 'in', 'the', 'ugh']","['for', 'in', 'more', 'on', 'pro', 'process', 'the', 'thoughts']",0.01739130434782609,23,7,2
6,6,"Yay! Our response to @MTCBATA ""Request for Transformative Projects"" made the finals! Our proposal pitches fare, service, and branding integration as a critical strategy in creating a more #seamless transportation system in the Bay Area. https://t.co/DzGrgJC98f ",2018-10-23 23:07:00,1382.0,24.0,0.0173661360347322,4.0,[['@MTCBATA']],15.0,3.0,1.0,"['yay!', 'our', 'response', 'to', '@mtcbata', '""request', 'for', 'transformative', 'projects""', 'made', 'the', 'finals!', 'our', 'proposal', 'pitches', 'fare,', 'service,', 'and', 'branding', 'integration', 'as', 'a', 'critical', 'strategy', 'in', 'creating', 'a', 'more', '#seamless', 'transportation', 'system', 'in', 'the', 'bay', 'area.', 'https://t.co/dzgrgjc98f']",https://t.co/DzGrgJC98f,"['Yay!', 'Our', 'response', 'to', '@MTCBATA', '""Request', 'for', 'Transformative', 'Projects""', 'made', 'the', 'finals!', 'Our', 'proposal', 'pitches', 'fare,', 'service,', 'and', 'branding', 'integration', 'as', 'a', 'critical', 'strategy', 'in', 'creating', 'a', 'more', '#seamless', 'transportation', 'system', 'in', 'the', 'Bay', 'Area.', 'https://t.co/DzGrgJC98f', '']","['critic', 'critical', 'ding', 'in', 'itch', 'mad', 'the', 'vice']","['as', 'fare', 'for', 'in', 'made', 'more', 'on', 'pro', 'quest', 'seamless', 'service', 'sport', 'the', 'transform', 'yay']",0.02681992337164751,23,7,2
7,7,"""To realize a seamless, world-class transit and transportation system across the Bay Area, we’ll need to start expecting more from our one regional transportation agency."" ICYMI: Read our editorial on why you should care who next leads the @MTCBATA! https://t.co/S4vJElEtl6 https://t.co/EPjrdNwNKf ",2018-10-19 20:28:00,788.0,9.0,0.0114213197969543,1.0,[['@MTCBATA!']],1.0,3.0,1.0,"['""to', 'realize', 'a', 'seamless,', 'world-class', 'transit', 'and', 'transportation', 'system', 'across', 'the', 'bay', 'area,', 'we’ll', 'need', 'to', 'start', 'expecting', 'more', 'from', 'our', 'one', 'regional', 'transportation', 'agency.""', 'icymi:', 'read', 'our', 'editorial', 'on', 'why', 'you', 'should', 'care', 'who', 'next', 'leads', 'the', '@mtcbata!', 'https://t.co/s4vjeletl6', 'https://t.co/epjrdnwnkf']","https://t.co/S4vJElEtl6, https://t.co/EPjrdNwNKf","['""To', 'realize', 'a', 'seamless,', 'world-class', 'transit', 'and', 'transportation', 'system', 'across', 'the', 'Bay', 'Area,', 'we’ll', 'need', 'to', 'start', 'expecting', 'more', 'from', 'our', 'one', 'regional', 'transportation', 'agency.""', 'ICYMI:', 'Read', 'our', 'editorial', 'on', 'why', 'you', 'should', 'care', 'who', 'next', 'leads', 'the', '@MTCBATA!', 'https://t.co/S4vJElEtl6', 'https://t.co/EPjrdNwNKf', '']","['in', 'the']","['art', 'as', 'care', 'in', 'lead', 'more', 'need', 'next', 'on', 'real', 'seamless', 'sport', 'star', 'start', 'the', 'world-class', 'yo', 'you']",0.05369127516778524,20,28,5
8,8,@asmallteapot @NeoNacho @eb4everyone We're working on a more regional (and rational) approach to transit! Can't promise BART to Sausalito though ... ,2018-10-15 19:36:00,125.0,3.0,0.024,0.0,"[['@asmallteapot'], ['@NeoNacho'], ['@eb4everyone']]",2.0,1.0,0.0,"['@asmallteapot', '@neonacho', '@eb4everyone', ""we're"", 'working', 'on', 'a', 'more', 'regional', '(and', 'rational)', 'approach', 'to', 'transit!', ""can't"", 'promise', 'bart', 'to', 'sausalito', 'though']",,"['@asmallteapot', '@NeoNacho', '@eb4everyone', ""We're"", 'working', 'on', 'a', 'more', 'regional', '(and', 'rational)', 'approach', 'to', 'transit!', ""Can't"", 'promise', 'BART', 'to', 'Sausalito', 'though', '...', '']","[""can't"", 'in', 'ugh']","['all', 'art', 'as', 'can', 'in', 'more', 'neo', 'on', 'pro', 'promise', 'rational', 'very', 'work', 'yo']",0.0738255033557047,19,36,1
9,9,"Check out our editorial in today's @sfchronicle! Selecting a bold, experienced leader for @MTCBATA who is committed to a vision of seamlessness is critical to the future of the Bay Area. https://t.co/xc7erb8uXc ",2018-10-14 17:59:00,3005.0,136.0,0.0452579034941763,13.0,"[['@sfchronicle!'], ['@MTCBATA']]",13.0,8.0,34.0,"['check', 'out', 'our', 'editorial', 'in', ""today's"", '@sfchronicle!', 'selecting', 'a', 'bold,', 'experienced', 'leader', 'for', '@mtcbata', 'who', 'is', 'committed', 'to', 'a', 'vision', 'of', 'seamlessness', 'is', 'critical', 'to', 'the', 'future', 'of', 'the', 'bay', 'area.', 'https://t.co/xc7erb8uxc']",https://t.co/xc7erb8uXc,"['Check', 'out', 'our', 'editorial', 'in', ""today's"", '@sfchronicle!', 'Selecting', 'a', 'bold,', 'experienced', 'leader', 'for', '@MTCBATA', 'who', 'is', 'committed', 'to', 'a', 'vision', 'of', 'seamlessness', 'is', 'critical', 'to', 'the', 'future', 'of', 'the', 'Bay', 'Area.', 'https://t.co/xc7erb8uXc', '']","['chronic', 'critic', 'critical', 'heck', 'in', 'old', 'the']","['bold', 'committed', 'da', 'experienced', 'for', 'in', 'lead', 'leader', 'of', 'on', 'seamless', 'select', 'the', 'today', 'vision']",0.03791469194312796,17,59,7
