,Unnamed: 0,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,tweet words,links,replies_sentance,Negative words,Positive words,Sentiment Score
0,0,"@MTCBATA is looking for a new Executive Director. The last one was in place for 17 years, so this is a BIG deal. We've put together a list of positive, visionary leaders we think are great candidates for the job. Would you add anyone else? Let us know! https://t.co/Syf9exwPTd ",2018-10-27 18:01:00,124.0,5.0,0.0403225806451612,0.0,[['@MTCBATA']],0.0,1.0,4.0,"['a', 'ac', 'ad', 'al', 'an', 'and', 'any', 'anyone', 'ar', 'are', 'as', 'at', 'b', 'ba', 'bi', 'c', 'ca', 'can', 'ce', 'co', 'ct', 'cu', 'd', 'da', 'date', 'dd', 'de', 'di', 'did', 'e', 'ea', 'ec', 'el', 'else', 'er', 'es', 'et', 'ex', 'f', 'fo', 'for', 'g', 'ge', 'get', 'gr', 'h', 'he', 'her', 'hi', 'his', 'http', 'i', 'id', 'ig', 'in', 'io', 'ir', 'is', 'it', 'iv', 'j', 'k', 'know', 'l', 'la', 'last', 'le', 'let', 'lo', 'look', 'looking', 'ls', 'm', 'mt', 'n', 'na', 'nd', 'ne', 'new', 'ng', 'no', 'now', 'ny', 'o', 'ob', 'of', 'og', 'ok', 'on', 'one', 'oo', 'or', 'os', 'ou', 'ow', 'p', 'pl', 'po', 'ps', 'pt', 'pu', 'put', 'r', 're', 'rs', 'ry', 's', 'se', 'si', 'so', 'st', 'sy', 't', 'tc', 'td', 'te', 'th', 'the', 'thin', 'think', 'this', 'ti', 'to', 'together', 'tp', 'tt', 'u', 'us', 'ut', 'v', 've', 've', 'w', 'wa', 'was', 'we', ""we've"", 'wo', 'would', 'x', 'y', 'you']",https://t.co/Syf9exwPTd,"['@MTCBATA', 'is', 'looking', 'for', 'a', 'new', 'Executive', 'Director.', 'The', 'last', 'one', 'was', 'in', 'place', 'for', '17', 'years,', 'so', 'this', 'is', 'a', 'BIG', 'deal.', ""We've"", 'put', 'together', 'a', 'list', 'of', 'positive,', 'visionary', 'leaders', 'we', 'think', 'are', 'great', 'candidates', 'for', 'the', 'job.', 'Would', 'you', 'add', 'anyone', 'else?', 'Let', 'us', 'know!', 'https://t.co/Syf9exwPTd', '']","['dire', 'in', 'ire', 'no', 'the']","['ace', 'add', 'as', 'big', 'can', 'candid', 'da', 'direct', 'ear', 'executive', 'for', 'great', 'in', 'lead', 'leader', 'new', 'now', 'of', 'ok', 'on', 'positive', 'the', 'together', 'vision', 'visionary', 'would', 'yea', 'yo', 'you']",28.981949458483754
1,1,Ultimate seamlessness. https://t.co/CdCLrg2o6a ,2018-10-26 14:24:00,345.0,10.0,0.0289855072463768,0.0,[],1.0,0.0,9.0,"['a', 'am', 'at', 'c', 'cd', 'cl', 'co', 'd', 'dc', 'e', 'ea', 'es', 'g', 'h', 'http', 'i', 'im', 'l', 'le', 'les', 'less', 'lr', 'lt', 'm', 'ma', 'ml', 'n', 'ne', 'o', 'p', 'ps', 'r', 's', 'se', 'sn', 'ss', 't', 'te', 'ti', 'tp', 'tt', 'u']",https://t.co/CdCLrg2o6a,"['Ultimate', 'seamlessness.', 'https://t.co/CdCLrg2o6a', '']",[],"['mate', 'seamless', 'ultimate']",3.0
2,2,"Help Nix Prop 6! Save funding for more seamless transit. Help out -- flier some train stations, do some phone banking. Sign up here: https://t.co/qM4M7tCFVO https://t.co/2379qGdY2D ",2018-10-26 02:28:00,994.0,19.0,0.0191146881287726,4.0,[],5.0,3.0,5.0,"['a', 'ain', 'am', 'an', 'at', 'av', 'b', 'ba', 'c', 'cf', 'co', 'd', 'di', 'do', 'dy', 'e', 'ea', 'el', 'er', 'es', 'f', 'fl', 'fo', 'for', 'fu', 'g', 'h', 'he', 'help', 'her', 'here', 'ho', 'http', 'i', 'ie', 'ig', 'in', 'io', 'it', 'ix', 'k', 'l', 'le', 'les', 'less', 'm', 'me', 'ml', 'mo', 'more', 'n', 'nd', 'ne', 'ng', 'ni', 'ns', 'o', 'om', 'on', 'one', 'op', 'or', 'ou', 'out', 'p', 'ph', 'pr', 'ps', 'q', 'r', 'ra', 'ran', 're', 'ro', 's', 'sa', 'se', 'si', 'so', 'some', 'ss', 'st', 't', 'tc', 'ti', 'tp', 'tr', 'tt', 'u', 'un', 'up', 'ut', 'v', 've', 've', 'vo', 'x', 'y', 'y2']","https://t.co/qM4M7tCFVO, https://t.co/2379qGdY2D","['Help', 'Nix', 'Prop', '6!', 'Save', 'funding', 'for', 'more', 'seamless', 'transit.', 'Help', 'out', '--', 'flier', 'some', 'train', 'stations,', 'do', 'some', 'phone', 'banking.', 'Sign', 'up', 'here:', 'https://t.co/qM4M7tCFVO', 'https://t.co/2379qGdY2D', '']","['ding', 'in', 'lie']","['for', 'fun', 'help', 'hone', 'in', 'more', 'on', 'pro', 'save', 'seamless', 'up']",10.98342541436464
3,3,"It doesn't have to be this way! Let's get to fixing. ""Regional fare integration, free transit, &amp; regulating timing of freight deliveries are proven concepts that have been standard practice in well-run cities around the world for decades, but are still ‘outside-the-box’” for MTC"" https://t.co/FczQtLbH5d ",2018-10-23 23:29:00,792.0,7.0,0.0088383838383838,2.0,[],4.0,1.0,0.0,"['a', 'ac', 'act', 'ad', 'al', 'am', 'an', 'and', 'ar', 'are', 'around', 'at', 'av', 'ay', 'b', 'be', 'been', 'bu', 'but', 'c', 'ca', 'ce', 'ci', 'cit', 'co', 'con', 'ct', 'cz', 'd', 'da', 'de', 'do', 'does', 'doesn', ""doesn't"", 'e', 'ec', 'ee', 'eg', 'ei', 'eight', 'el', 'en', 'ep', 'er', 'es', 'et', 'f', 'fa', 'far', 'fc', 'fi', 'fix', 'fo', 'for', 'fr', 'g', 'ge', 'get', 'gi', 'gr', 'h', 'have', 'he', 'hi', 'his', 'http', 'i', 'ic', 'id', 'ie', 'ig', 'il', 'im', 'in', 'io', 'is', 'it', 'iv', 'ix', 'l', 'la', 'lb', 'le', 'let', ""let's"", 'll', 'll', 'm', 'mt', 'n', 'na', 'nc', 'nd', 'ng', 'ns', 'nt', 'o', 'of', 'on', 'once', 'or', 'ou', 'out', 'outside', 'ox', 'p', 'pr', 'ps', 'pt', 'q', 'r', 'ra', 'ran', 'rd', 're', 'ri', 'rl', 'ro', 'ru', 'run', 's', 'si', 'side', 'sn', 'st', 'still', 't', 'tc', 'te', 'th', 'that', 'the', 'this', 'ti', 'til', 'tl', 'to', 'tp', 'tr', 'ts', ""t's"", 'tt', 'u', 'un', 'ut', 'v', 've', 've', 'w', 'wa', 'way', 'we', 'well', 'wo', 'world', 'x', 'xi', 'y', 'z']",https://t.co/FczQtLbH5d,"['It', ""doesn't"", 'have', 'to', 'be', 'this', 'way!', ""Let's"", 'get', 'to', 'fixing.', '""Regional', 'fare', 'integration,', 'free', 'transit,', '&amp;', 'regulating', 'timing', 'of', 'freight', 'deliveries', 'are', 'proven', 'concepts', 'that', 'have', 'been', 'standard', 'practice', 'in', 'well-run', 'cities', 'around', 'the', 'world', 'for', 'decades,', 'but', 'are', 'still', '‘outside-the-box’”', 'for', 'MTC""', 'https://t.co/FczQtLbH5d', '']","['ill', 'in', 'the']","['box', 'da', 'fare', 'for', 'free', 'have', 'in', 'live', 'of', 'on', 'practice', 'pro', 'proven', 'round', 'run', 'still', 'the', 'way', 'well', 'well-run']",19.990291262135923
4,4,And then come say hi at next month’s @SPUR_Urbanist lunch forum where @icgee will be pitching our proposal alongside a few of the other great project ideas &amp; concepts to come from the competition. ,2018-10-23 23:09:00,532.0,3.0,0.0056390977443609,0.0,"[['@SPUR_Urbanist'], ['@icgee']]",1.0,2.0,0.0,"['a', 'al', 'along', 'am', 'an', 'and', 'as', 'at', 'ay', 'b', 'ba', 'be', 'c', 'ce', 'cg', 'ch', 'co', 'com', 'come', 'con', 'ct', 'd', 'de', 'e', 'ea', 'ec', 'ee', 'en', 'ep', 'er', 'et', 'ex', 'f', 'few', 'fo', 'for', 'fr', 'from', 'g', 'ge', 'gr', 'gs', 'h', 'he', 'her', 'here', 'hi', 'i', 'ic', 'id', 'il', 'in', 'io', 'is', 'it', 'j', 'l', 'll', 'll', 'lo', 'm', 'me', 'mo', 'n', 'nc', 'nd', 'ne', 'next', 'ng', 'ni', 'nt', 'o', 'of', 'oj', 'om', 'on', 'once', 'op', 'or', 'os', 'ot', 'other', 'ou', 'our', 'p', 'pe', 'pi', 'po', 'pr', 'pt', 'pu', 'r', 're', 'ro', 'ru', 's', 'sa', 'say', 'si', 'side', 'sp', 'st', 't', 'tc', 'th', 'the', 'then', 'ti', 'to', 'ts', 'u', 'um', 'un', 'ur', 'w', 'where', 'wi', 'will', 'x', 'xt', 'y']",,"['And', 'then', 'come', 'say', 'hi', 'at', 'next', 'month’s', '@SPUR_Urbanist', 'lunch', 'forum', 'where', '@icgee', 'will', 'be', 'pitching', 'our', 'proposal', 'alongside', 'a', 'few', 'of', 'the', 'other', 'great', 'project', 'ideas', '&amp;', 'concepts', 'to', 'come', 'from', 'the', 'competition.', '']","['ill', 'in', 'itch', 'itching', 'the']","['as', 'for', 'great', 'idea', 'in', 'next', 'of', 'on', 'pro', 'say', 'the', 'will']",11.975124378109452
5,5,"For more details, check out our post detailing the proposal &amp; thoughts on the process. https://t.co/orryBnG27Z ",2018-10-23 23:07:00,538.0,22.0,0.0408921933085501,0.0,[],4.0,0.0,14.0,"['a', 'al', 'am', 'b', 'bn', 'c', 'ce', 'ch', 'co', 'd', 'de', 'detail', 'e', 'ec', 'es', 'et', 'f', 'fo', 'for', 'g', 'h', 'he', 'ho', 'http', 'i', 'il', 'in', 'k', 'l', 'ls', 'm', 'mo', 'more', 'n', 'ng', 'o', 'oc', 'on', 'op', 'or', 'os', 'ou', 'ought', 'our', 'out', 'p', 'po', 'pr', 'ps', 'r', 're', 'ro', 'rr', 'ry', 's', 'sa', 'ss', 'st', 't', 'th', 'the', 'thou', 'though', 'tp', 'ts', 'tt', 'u', 'ur', 'ut', 'y', 'z']",https://t.co/orryBnG27Z,"['For', 'more', 'details,', 'check', 'out', 'our', 'post', 'detailing', 'the', 'proposal', '&amp;', 'thoughts', 'on', 'the', 'process.', 'https://t.co/orryBnG27Z', '']","['ail', 'ailing', 'heck', 'in', 'the', 'ugh']","['for', 'in', 'more', 'on', 'pro', 'process', 'the', 'thoughts']",7.947826086956522
6,6,"Yay! Our response to @MTCBATA ""Request for Transformative Projects"" made the finals! Our proposal pitches fare, service, and branding integration as a critical strategy in creating a more #seamless transportation system in the Bay Area. https://t.co/DzGrgJC98f ",2018-10-23 23:07:00,1382.0,24.0,0.0173661360347322,4.0,[['@MTCBATA']],15.0,3.0,1.0,"['a', 'ad', 'al', 'am', 'an', 'and', 'ar', 'are', 'as', 'at', 'ay', 'b', 'ba', 'br', 'c', 'ca', 'ce', 'ch', 'co', 'cr', 'ct', 'd', 'de', 'di', 'e', 'ea', 'ec', 'eg', 'em', 'eq', 'er', 'es', 'est', 'f', 'fa', 'far', 'fi', 'fo', 'for', 'g', 'gj', 'gr', 'gy', 'h', 'he', 'hes', 'http', 'i', 'ic', 'in', 'io', 'it', 'iv', 'j', 'l', 'le', 'les', 'less', 'ls', 'm', 'ma', 'made', 'ml', 'mo', 'more', 'mt', 'n', 'na', 'nd', 'ng', 'ns', 'nt', 'o', 'oj', 'on', 'op', 'or', 'os', 'ou', 'our', 'p', 'pi', 'po', 'pr', 'ps', 'q', 'qu', 'que', 'r', 'ra', 'ran', 're', 'ri', 'rm', 'ro', 'rt', 'rv', 's', 'sa', 'se', 'sf', 'sp', 'ss', 'st', 'sy', 'system', 't', 'tc', 'te', 'th', 'the', 'ti', 'to', 'tp', 'tr', 'ts', 'tt', 'u', 'ue', 'ur', 'v', 've', 've', 'y', 'ys', 'z']",https://t.co/DzGrgJC98f,"['Yay!', 'Our', 'response', 'to', '@MTCBATA', '""Request', 'for', 'Transformative', 'Projects""', 'made', 'the', 'finals!', 'Our', 'proposal', 'pitches', 'fare,', 'service,', 'and', 'branding', 'integration', 'as', 'a', 'critical', 'strategy', 'in', 'creating', 'a', 'more', '#seamless', 'transportation', 'system', 'in', 'the', 'Bay', 'Area.', 'https://t.co/DzGrgJC98f', '']","['critic', 'critical', 'ding', 'in', 'itch', 'mad', 'the', 'vice']","['as', 'fare', 'for', 'in', 'made', 'more', 'on', 'pro', 'quest', 'seamless', 'service', 'sport', 'the', 'transform', 'yay']",14.969348659003831
7,7,"""To realize a seamless, world-class transit and transportation system across the Bay Area, we’ll need to start expecting more from our one regional transportation agency."" ICYMI: Read our editorial on why you should care who next leads the @MTCBATA! https://t.co/S4vJElEtl6 https://t.co/EPjrdNwNKf ",2018-10-19 20:28:00,788.0,9.0,0.0114213197969543,1.0,[['@MTCBATA!']],1.0,3.0,1.0,"['a', 'ac', 'across', 'ad', 'ag', 'al', 'am', 'an', 'and', 'ar', 'are', 'as', 'at', 'ay', 'b', 'ba', 'c', 'ca', 'cl', 'co', 'cr', 'ct', 'cy', 'd', 'di', 'ds', 'e', 'ea', 'ec', 'ed', 'ee', 'eg', 'el', 'em', 'en', 'ep', 'es', 'et', 'ex', 'f', 'fr', 'from', 'g', 'ge', 'gi', 'h', 'he', 'ho', 'http', 'hy', 'i', 'ia', 'ic', 'in', 'io', 'it', 'iz', 'j', 'jr', 'k', 'l', 'la', 'le', 'les', 'less', 'let', 'll', 'll', 'm', 'ml', 'mo', 'more', 'mt', 'n', 'na', 'nc', 'nd', 'ne', 'need', 'next', 'ng', 'ns', 'o', 'om', 'on', 'one', 'or', 'os', 'ou', 'our', 'p', 'pe', 'pj', 'po', 'ps', 'r', 'ra', 'ran', 'rd', 're', 'ri', 'rl', 'ro', 'rt', 's', 'se', 'should', 'si', 'sp', 'ss', 'st', 'sy', 'system', 't', 'tc', 'te', 'th', 'the', 'ti', 'tl', 'to', 'tp', 'tr', 'tt', 'u', 'ur', 'v', 'vj', 'w', 'we', 'who', 'why', 'wo', 'world', 'x', 'xt', 'y', 'you', 'ys', 'z']","https://t.co/S4vJElEtl6, https://t.co/EPjrdNwNKf","['""To', 'realize', 'a', 'seamless,', 'world-class', 'transit', 'and', 'transportation', 'system', 'across', 'the', 'Bay', 'Area,', 'we’ll', 'need', 'to', 'start', 'expecting', 'more', 'from', 'our', 'one', 'regional', 'transportation', 'agency.""', 'ICYMI:', 'Read', 'our', 'editorial', 'on', 'why', 'you', 'should', 'care', 'who', 'next', 'leads', 'the', '@MTCBATA!', 'https://t.co/S4vJElEtl6', 'https://t.co/EPjrdNwNKf', '']","['in', 'the']","['art', 'as', 'care', 'in', 'lead', 'more', 'need', 'next', 'on', 'real', 'seamless', 'sport', 'star', 'start', 'the', 'world-class', 'yo', 'you']",17.993288590604028
8,8,@asmallteapot @NeoNacho @eb4everyone We're working on a more regional (and rational) approach to transit! Can't promise BART to Sausalito though ... ,2018-10-15 19:36:00,125.0,3.0,0.024,0.0,"[['@asmallteapot'], ['@NeoNacho'], ['@eb4everyone']]",2.0,1.0,0.0,"['a', 'ac', 'al', 'all', 'an', 'and', 'ap', 'ar', 'as', 'at', 'au', 'b', 'ba', 'c', 'ca', 'can', ""can't"", 'ch', 'd', 'e', 'ea', 'eg', 'eo', 'er', 'ev', 'ever', 'every', 'everyone', 'g', 'gi', 'h', 'ho', 'i', 'in', 'io', 'is', 'it', 'k', 'l', 'll', 'll', 'lt', 'm', 'ma', 'mo', 'more', 'n', 'na', 'nd', 'ne', 'ng', 'ns', 'o', 'oa', 'om', 'on', 'one', 'or', 'ot', 'ou', 'p', 'po', 'pp', 'pr', 'r', 'ra', 'ran', 're', 'ro', 'rt', 'ry', 's', 'sa', 'se', 'si', 'sm', 't', 'te', 'th', 'thou', 'though', 'ti', 'to', 'tr', 'u', 'us', 'v', 've', 've', 'very', 'w', 'we', ""we're"", 'wo', 'y']",,"['@asmallteapot', '@NeoNacho', '@eb4everyone', ""We're"", 'working', 'on', 'a', 'more', 'regional', '(and', 'rational)', 'approach', 'to', 'transit!', ""Can't"", 'promise', 'BART', 'to', 'Sausalito', 'though', '...', '']","[""can't"", 'in', 'ugh']","['all', 'art', 'as', 'can', 'in', 'more', 'neo', 'on', 'pro', 'promise', 'rational', 'very', 'work', 'yo']",13.979865771812081
9,9,"Check out our editorial in today's @sfchronicle! Selecting a bold, experienced leader for @MTCBATA who is committed to a vision of seamlessness is critical to the future of the Bay Area. https://t.co/xc7erb8uXc ",2018-10-14 17:59:00,3005.0,136.0,0.0452579034941763,13.0,"[['@sfchronicle!'], ['@MTCBATA']]",13.0,8.0,34.0,"['a', 'ad', 'al', 'am', 'ar', 'are', 'at', 'ay', 'b', 'ba', 'c', 'ca', 'ce', 'ch', 'cl', 'co', 'com', 'cr', 'ct', 'd', 'da', 'de', 'di', 'e', 'ea', 'ec', 'ed', 'el', 'en', 'er', 'es', 'ex', 'f', 'fc', 'fo', 'for', 'fu', 'g', 'h', 'he', 'ho', 'hr', 'http', 'i', 'ia', 'ic', 'ie', 'in', 'io', 'is', 'it', 'k', 'l', 'le', 'les', 'less', 'm', 'ml', 'mt', 'n', 'nc', 'ne', 'ng', 'ni', 'o', 'od', 'of', 'ol', 'old', 'om', 'on', 'or', 'ou', 'our', 'out', 'p', 'pe', 'per', 'ps', 'r', 're', 'ri', 'ro', 's', 'se', 'sf', 'si', 'sn', 'ss', 't', 'tc', 'te', 'th', 'the', 'ti', 'to', 'tp', 'tt', 'u', 'ur', 'ut', 'v', 'w', 'who', 'x', 'y']",https://t.co/xc7erb8uXc,"['Check', 'out', 'our', 'editorial', 'in', ""today's"", '@sfchronicle!', 'Selecting', 'a', 'bold,', 'experienced', 'leader', 'for', '@MTCBATA', 'who', 'is', 'committed', 'to', 'a', 'vision', 'of', 'seamlessness', 'is', 'critical', 'to', 'the', 'future', 'of', 'the', 'Bay', 'Area.', 'https://t.co/xc7erb8uXc', '']","['chronic', 'critic', 'critical', 'heck', 'in', 'old', 'the']","['bold', 'committed', 'da', 'experienced', 'for', 'in', 'lead', 'leader', 'of', 'on', 'seamless', 'select', 'the', 'today', 'vision']",14.966824644549764
